# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
0 200
52 510 0 0.0 0.0 0.0
53 520 0 0.0 0.0 0.0
54 530 0 0.0 0.0 0.0
55 540 0 0.0 0.0 0.0
56 550 0 0.0 0.0 0.0
57 560 0 0.0 0.0 0.0
58 570 0 0.0 0.0 0.0
59 580 0 0.0 0.0 0.0
60 590 0 0.0 0.0 0.0
61 600 0 0.0 0.0 0.0
62 610 0 0.0 0.0 0.0
63 620 0 0.0 0.0 0.0
64 630 0 0.0 0.0 0.0
65 640 0 0.0 0.0 0.0
66 650 0 0.0 0.0 0.0
67 660 0 0.0 0.0 0.0
68 670 0 0.0 0.0 0.0
69 680 0 0.0 0.0 0.0
70 690 0 0.0 0.0 0.0
71 700 0 0.0 0.0 0.0
72 710 0 0.0 0.0 0.0
73 720 0 0.0 0.0 0.0
74 730 0 0.0 0.0 0.0
75 740 0 0.0 0.0 0.0
76 750 0 0.0 0.0 0.0
77 760 0 0.0 0.0 0.0
78 770 0 0.0 0.0 0.0
79 780 0 0.0 0.0 0.0
80 790 0 0.0 0.0 0.0
81 800 0 0.0 0.0 0.0
82 810 0 0.0 0.0 0.0
83 820 0 0.0 0.0 0.0
84 830 0 0.0 0.0 0.0
85 840 0 0.0 0.0 0.0
86 850 0 0.0 0.0 0.0
87 860 0 0.0 0.0 0.0
88 870 0 0.0 0.0 0.0
89 880 0 0.0 0.0 0.0
90 890 0 0.0 0.0 0.0
91 900 0 0.0 0.0 0.0
92 910 0 0.0 0.0 0.0
93 920 0 0.0 0.0 0.0
94 930 0 0.0 0.0 0.0
95 940 0 0.0 0.0 0.0
96 950 0 0.0 0.0 0.0
97 960 0 0.0 0.0 0.0
98 970 0 0.0 0.0 0.0
99 980 0 0.0 0.0 0.0
100 990 0 0.0 0.0 0.0
101 1000 0 0.0 0.0 0.0
102 1010 0 0.0 0.0 0.0
103 1020 0 0.0 0.0 0.0
104 1030 0 0.0 0.0 0.0
105 1040 0 0.0 0.0 0.0
106 1050 0 0.0 0.0 0.0
107 1060 0 0.0 0.0 0.0
108 1070 0 0.0 0.0 0.0
109 1080 0 0.0 0.0 0.0
110 1090 0 0.0 0.0 0.0
111 1100 0 0.0 0.0 0.0
112 1110 0 0.0 0.0 0.0
113 1120 0 0.0 0.0 0.0
114 1130 0 0.0 0.0 0.0
115 1140 0 0.0 0.0 0.0
116 1150 0 0.0 0.0 0.0
117 1160 0 0.0 0.0 0.0
118 1170 0 0.0 0.0 0.0
119 1180 0 0.0 0.0 0.0
120 1190 0 0.0 0.0 0.0
121 1200 0 0.0 0.0 0.0
122 1210 0 0.0 0.0 0.0
123 1220 0 0.0 0.0 0.0
124 1230 0 0.0 0.0 0.0
125 1240 0 0.0 0.0 0.0
126 1250 0 0.0 0.0 0.0
127 1260 0 0.0 0.0 0.0
128 1270 0 0.0 0.0 0.0
129 1280 0 0.0 0.0 0.0
130 1290 0 0.0 0.0 0.0
131 1300 0 0.0 0.0 0.0
132 1310 0 0.0 0.0 0.0
133 1320 0 0.0 0.0 0.0
134 1330 0 0.0 0.0 0.0
135 1340 0 0.0 0.0 0.0
136 1350 0 0.0 0.0 0.0
137 1360 0 0.0 0.0 0.0
138 1370 0 0.0 0.0 0.0
139 1380 0 0.0 0.0 0.0
140 1390 0 0.0 0.0 0.0
141 1400 0 0.0 0.0 0.0
142 1410 0 0.0 0.0 0.0
143 1420 0 0.0 0.0 0.0
144 1430 0 0.0 0.0 0.0
145 1440 0 0.0 0.0 0.0
146 1450 0 0.0 0.0 0.0
147 1460 0 0.0 0.0 0.0
148 1470 0 0.0 0.0 0.0
149 1480 0 0.0 0.0 0.0
150 1490 0 0.0 0.0 0.0
151 1500 0 0.0 0.0 0.0
152 1510 0 0.0 0.0 0.0
153 1520 0 0.0 0.0 0.0
154 1530 0 0.0 0.0 0.0
155 1540 0 0.0 0.0 0.0
156 1550 0 0.0 0.0 0.0
157 1560 0 0.0 0.0 0.0
158 1570 0 0.0 0.0 0.0
159 1580 0 0.0 0.0 0.0
160 1590 0 0.0 0.0 0.0
161 1600 0 0.0 0.0 0.0
162 1610 0 0.0 0.0 0.0
163 1620 0 0.0 0.0 0.0
164 1630 0 0.0 0.0 0.0
165 1640 0 0.0 0.0 0.0
166 1650 0 0.0 0.0 0.0
167 1660 0 0.0 0.0 0.0
168 1670 0 0.0 0.0 0.0
169 1680 0 0.0 0.0 0.0
170 1690 0 0.0 0.0 0.0
171 1700 0 0.0 0.0 0.0
172 1710 0 0.0 0.0 0.0
173 1720 0 0.0 0.0 0.0
174 1730 0 0.0 0.0 0.0
175 1740 0 0.0 0.0 0.0
176 1750 0 0.0 0.0 0.0
177 1760 0 0.0 0.0 0.0
178 1770 0 0.0 0.0 0.0
179 1780 0 0.0 0.0 0.0
180 1790 0 0.0 0.0 0.0
181 1800 0 0.0 0.0 0.0
182 1810 0 0.0 0.0 0.0
183 1820 0 0.0 0.0 0.0
184 1830 0 0.0 0.0 0.0
185 1840 0 0.0 0.0 0.0
186 1850 0 0.0 0.0 0.0
187 1860 0 0.0 0.0 0.0
188 1870 0 0.0 0.0 0.0
189 1880 0 0.0 0.0 0.0
190 1890 0 0.0 0.0 0.0
191 1900 0 0.0 0.0 0.0
192 1910 0 0.0 0.0 0.0
193 1920 0 0.0 0.0 0.0
194 1930 0 0.0 0.0 0.0
195 1940 0 0.0 0.0 0.0
196 1950 0 0.0 0.0 0.0
197 1960 0 0.0 0.0 0.0
198 1970 0 0.0 0.0 0.0
199 1980 0 0.0 0.0 0.0
200 1990 0 0.0 0.0 0.0
2000 200
1 0 201 0.000873218 0.000640125 0.00115533
2 10 200 0.000834358 0.000598434 0.00111385
3 20 199 0.00074269 0.000505607 0.00101785
4 30 198 0.000654906 0.000423245 0.000929025
5 40 197 0.000595983 0.00037722 0.000871259
6 50 196 0.000554026 0.000355115 0.000833436
7 60 195 0.0005061 0.00033851 0.000802754
8 70 194 0.000442363 0.000320504 0.000778899
9 80 193 0.00036991 0.000302181 0.000767609
10 90 192 0.00030072 0.000284606 0.000769463
11 100 191 0.000241339 0.000266752 0.000775003
12 110 190 0.000193355 0.00024851 0.000770214
13 120 189 0.000157807 0.000233983 0.000750634
14 130 188 0.000130863 0.000227268 0.000726515
15 140 187 0.000102329 0.000226825 0.000710396
16 150 186 6.49489e-05 0.000228732 0.000702748
17 160 185 1.9585e-05 0.00023202 0.000695594
18 170 184 -3.00792e-05 0.000238521 0.000686252
19 180 183 -8.12481e-05 0.000245734 0.000680532
20 190 182 -0.000128575 0.000248374 0.00068106
21 200 181 -0.000164018 0.000244226 0.00068344
22 210 180 -0.000181616 0.00023482 0.000681636
23 220 179 -0.000183377 0.000223102 0.000673333
24 230 178 -0.000179227 0.000212023 0.000659876
25 240 177 -0.000177828 0.000201896 0.000642344
26 250 176 -0.000179422 0.000189258 0.000619388
27 260 175 -0.000180287 0.000172723 0.000593756
28 270 174 -0.000178094 0.000158266 0.000569995
29 280 173 -0.000170414 0.000151532 0.000547589
30 290 172 -0.000154888 0.000151257 0.000525608
31 300 171 -0.000133433 0.000151529 0.00051225
32 310 170 -0.000113713 0.000147058 0.000512817
33 320 169 -0.000101777 0.000135203 0.000517729
34 330 168 -9.48724e-05 0.000116836 0.000513758
35 340 167 -8.21559e-05 9.77411e-05 0.000495961
36 350 166 -5.52252e-05 8.30842e-05 0.000465357
37 360 165 -1.79897e-05 7.05256e-05 0.000428126
38 370 164 1.84501e-05 5.17496e-05 0.000397092
39 380 163 4.73159e-05 2.36874e-05 0.000386908
40 390 162 7.19536e-05 -6.79485e-06 0.000402021
41 400 161 9.74215e-05 -2.99606e-05 0.000431908
42 410 160 0.000119819 -4.13773e-05 0.000466044
43 420 159 0.000132701 -4.41549e-05 0.000502067
44 430 158 0.000139611 -4.10882e-05 0.000537064
45 440 157 0.000153059 -2.95241e-05 0.000565932
46 450 156 0.000180991 -1.1224e-05 0.000584362
47 460 155 0.000216263 -7.41442e-08 0.000589148
48 470 154 0.000244271 -9.89197e-06 0.00058092
49 480 153 0.000260074 -3.78691e-05 0.000564603
50 490 152 0.00027161 -6.82339e-05 0.00054726
51 500 151 0.000286151 -8.95898e-05 0.000531965
52 510 150 0.000300588 -0.000100365 0.000513241
53 520 149 0.000305783 -0.000101154 0.000485532
54 530 148 0.000296916 -9.40968e-05 0.000454879
55 540 147 0.000276666 -8.78823e-05 0.000435794
56 550 146 0.000247832 -9.41911e-05 0.000432569
57 560 145 0.0002109 -0.000114012 0.000431661
58 570 144 0.000167162 -0.000136131 0.000423582
59 580 143 0.000123059 -0.000149048 0.00042023
60 590 142 8.87937e-05 -0.000147638 0.000438187
61 600 141 7.18726e-05 -0.000134714 0.000473827
62 610 140 7.08372e-05 -0.000122373 0.000507239
63 620 139 7.50575e-05 -0.000124903 0.000526235
64 630 138 7.5273e-05 -0.000143446 0.000534404
65 640 137 7.05722e-05 -0.000166263 0.000540854
66 650 136 6.64651e-05 -0.000183261 0.000551771
67 660 135 6.74964e-05 -0.000188513 0.000563695
68 670 134 7.15654e-05 -0.000181687 0.000566709
69 680 133 6.99422e-05 -0.000174009 0.000558499
70 690 132 5.29057e-05 -0.000180539 0.000550793
71 700 131 2.064e-05 -0.000202812 0.000553868
72 710 130 -1.33658e-05 -0.000227743 0.000559216
73 720 129 -3.55701e-05 -0.000239082 0.000553318
74 730 128 -4.29873e-05 -0.000230301 0.000541487
75 740 127 -3.83939e-05 -0.000207903 0.000536666
76 750 126 -2.20135e-05 -0.00018286 0.000537964
77 760 125 5.40999e-06 -0.000160741 0.000532475
78 770 124 3.54231e-05 -0.000140191 0.000515387
79 780 123 5.87793e-05 -0.000119416 0.000493578
80 790 122 7.62735e-05 -0.000101089 0.000470153
81 800 121 9.2468e-05 -8.61028e-05 0.000440847
82 810 120 0.000106982 -6.68952e-05 0.00040875
83 820 119 0.000111872 -4.05345e-05 0.000384062
84 830 118 9.73413e-05 -2.23684e-05 0.000368953
85 840 117 6.48855e-05 -3.01835e-05 0.00035822
86 850 116 2.68634e-05 -5.99172e-05 0.000351015
87 860 115 -4.14995e-06 -8.7324e-05 0.000356285
88 870 114 -2.32172e-05 -9.31687e-05 0.000383947
89 880 113 -3.44905e-05 -7.82427e-05 0.000427174
90 890 112 -4.47047e-05 -5.69984e-05 0.000464933
91 900 111 -5.64381e-05 -3.92921e-05 0.000480331
92 910 110 -6.22875e-05 -2.22304e-05 0.000469892
93 920 109 -5.03296e-05 -3.27693e-06 0.00044303
94 930 108 -1.64062e-05 8.00253e-06 0.000415411
95 940 107 3.27377e-05 -2.56415e-06 0.000395849
96 950 106 8.28384e-05 -3.57237e-05 0.000378037
97 960 105 0.000119362 -7.87003e-05 0.000354165
98 970 104 0.000141405 -0.000112947 0.000330625
99 980 103 0.000165205 -0.000121168 0.000317338
100 990 102 0.000204391 -9.92617e-05 0.000308189
101 1000 101 0.000254494 -6.20616e-05 0.000288014
102 1010 100 0.000301901 -3.40953e-05 0.000256462
103 1020 99 0.000338899 -3.00896e-05 0.000227986
104 1030 98 0.000366625 -4.05326e-05 0.000209783
105 1040 97 0.000390691 -4.44349e-05 0.000196005
106 1050 96 0.000414656 -2.94298e-05 0.000179219
107 1060 95 0.000434996 -2.08442e-06 0.000155363
108 1070 94 0.000445086 1.8319e-05 0.000124113
109 1080 93 0.000447037 2.0304e-05 9.0807e-05
110 1090 92 0.000448461 1.16499e-05 6.31299e-05
111 1100 91 0.000449861 6.32735e-06 4.42487e-05
112 1110 90 0.000449358 9.07631e-06 2.90436e-05
113 1120 89 0.000450063 1.1896e-05 9.42772e-06
114 1130 88 0.000453945 7.80153e-06 -1.63187e-05
115 1140 87 0.000457223 -1.18911e-06 -4.40312e-05
116 1150 86 0.000454549 -1.21783e-05 -6.96363e-05
117 1160 85 0.000448004 -2.90064e-05 -9.57629e-05
118 1170 84 0.000446372 -5.25171e-05 -0.000127779
119 1180 83 0.000450287 -7.21762e-05 -0.00015511
120 1190 82 0.000446686 -7.53124e-05 -0.000155821
121 1200 81 0.000418957 -6.01134e-05 -0.000121589
122 1210 80 0.000367118 -3.78161e-05 -6.98633e-05
123 1220 79 0.000311245 -1.83356e-05 -3.07458e-05
124 1230 78 0.000264682 1.36344e-06 -2.49062e-05
125 1240 77 0.000219655 3.09395e-05 -5.46e-05
126 1250 76 0.000162422 6.76133e-05 -0.000105095
127 1260 75 9.58572e-05 9.3156e-05 -0.000159181
128 1270 74 3.56526e-05 9.96608e-05 -0.000210779
129 1280 73 -8.73055e-06 9.87727e-05 -0.000254457
130 1290 72 -3.5787e-05 9.85959e-05 -0.000274604
131 1300 71 -4.99704e-05 8.97264e-05 -0.000254283
132 1310 70 -6.20652e-05 6.19195e-05 -0.000196963
133 1320 69 -8.06196e-05 2.06038e-05 -0.000126315
134 1330 68 -0.00010689 -1.60078e-05 -7.00821e-05
135 1340 67 -0.000137559 -3.11907e-05 -4.21818e-05
136 1350 66 -0.000166877 -2.54926e-05 -3.75689e-05
137 1360 65 -0.000195191 -1.40729e-05 -4.17045e-05
138 1370 64 -0.000234441 -1.46524e-05 -4.24224e-05
139 1380 63 -0.000291016 -3.41761e-05 -3.19491e-05
140 1390 62 -0.000349037 -5.98657e-05 -1.19264e-05
141 1400 61 -0.00038207 -6.8968e-05 1.06902e-05
142 1410 60 -0.000380942 -5.35766e-05 3.72283e-05
143 1420 59 -0.000364885 -2.28183e-05 7.16846e-05
144 1430 58 -0.000358418 9.04152e-06 0.000107846
145 1440 57 -0.000361199 2.79185e-05 0.000132953
146 1450 56 -0.000351977 2.70737e-05 0.000137958
147 1460 55 -0.000321306 1.52521e-05 0.000124866
148 1470 54 -0.000285593 6.76629e-06 0.000110535
149 1480 53 -0.00026392 5.68316e-07 0.000112264
150 1490 52 -0.000254197 -9.66791e-06 0.000135037
151 1500 51 -0.000239648 -1.52182e-05 0.000167698
152 1510 50 -0.000213256 -7.97682e-06 0.000185012
153 1520 49 -0.000179975 2.96594e-06 0.00017733
154 1530 48 -0.000149801 9.45789e-07 0.000175789
155 1540 47 -0.000127269 -1.54721e-05 0.000208448
156 1550 46 -0.000104161 -3.12997e-05 0.000254202
157 1560 45 -6.79517e-05 -3.69984e-05 0.000267221
158 1570 44 -1.58232e-05 -4.31153e-05 0.000230392
159 1580 43 5.02563e-05 -6.27512e-05 0.00016824
160 1590 42 0.00012125 -8.36051e-05 0.000114121
161 1600 41 0.000173683 -7.72431e-05 8.35311e-05
162 1610 40 0.000189838 -4.01039e-05 6.93442e-05
163 1620 39 0.000177839 -9.23443e-06 5.16326e-05
164 1630 38 0.000166792 -2.86243e-05 3.26534e-05
165 1640 37 0.000179651 -9.79851e-05 4.18244e-05
166 1650 36 0.000209132 -0.00017037 9.48544e-05
167 1660 35 0.000227964 -0.000207809 0.0001681
168 1670 34 0.000215788 -0.000211545 0.000212752
169 1680 33 0.000174332 -0.000197167 0.000199545
170 1690 32 0.000121131 -0.000170577 0.000141596
171 1700 31 7.22841e-05 -0.00013023 7.25739e-05
172 1710 30 3.53703e-05 -8.65538e-05 2.17977e-05
173 1720 29 1.36733e-05 -5.82361e-05 -8.65311e-06
174 1730 28 5.66904e-06 -4.93604e-05 -4.72868e-05
175 1740 27 -3.24394e-07 -4.12391e-05 -0.000115062
176 1750 26 -1.591e-05 -2.37085e-05 -0.000190576
177 1760 25 -4.31674e-05 -9.19015e-06 -0.000247025
178 1770 24 -8.10511e-05 -1.61242e-05 -0.000286932
179 1780 23 -0.000116156 -5.01075e-05 -0.000335536
180 1790 22 -0.000128983 -8.39997e-05 -0.000405976
181 1800 21 -0.000109255 -9.12478e-05 -0.000487595
182 1810 20 -5.01466e-05 -7.37171e-05 -0.000531618
183 1820 19 4.53068e-05 -5.11037e-05 -0.000508648
184 1830 18 0.00014542 -4.31609e-05 -0.000448682
185 1840 17 0.000201192 -6.1246e-05 -0.00040618
186 1850 16 0.000189292 -9.67075e-05 -0.000405757
187 1860 15 0.000126622 -0.000124768 -0.000430703
188 1870 14 6.42577e-05 -0.000127718 -0.00044341
189 1880 13 5.04346e-05 -0.000114153 -0.000442068
190 1890 12 8.86463e-05 -8.17052e-05 -0.000446432
191 1900 11 0.000139343 -3.62266e-05 -0.000459888
192 1910 10 0.000161921 1.3286e-05 -0.000463257
193 1920 9 0.000115621 7.23284e-05 -0.000453376
194 1930 8 -2.36927e-05 0.000155424 -0.000430657
195 1940 7 -0.000223481 0.000264149 -0.000387001
196 1950 6 -0.000395256 0.000373148 -0.000342556
197 1960 5 -0.000438563 0.000465156 -0.000340519
198 1970 4 -0.000319153 0.000532666 -0.000394585
199 1980 3 -9.93534e-05 0.000562336 -0.000447197
200 1990 2 0.000104856 0.00054062 -0.000439088
4000 200
1 0 401 0.000770049 0.000933155 0.00110847
2 10 400 0.000730402 0.000887829 0.00106919
3 20 399 0.000641113 0.000793759 0.000986158
4 30 398 0.000556609 0.000706491 0.000915849
5 40 397 0.00049936 0.000644035 0.000870025
6 50 396 0.000459755 0.000596237 0.000830726
7 60 395 0.000420876 0.000552989 0.000791157
8 70 394 0.000375881 0.000512964 0.000759494
9 80 393 0.000328902 0.000476046 0.000739072
10 90 392 0.000286807 0.000439036 0.000721741
11 100 391 0.000251902 0.000398353 0.00069958
12 110 390 0.000221255 0.000357274 0.00067375
13 120 389 0.000192646 0.000325091 0.00065036
14 130 388 0.000166454 0.000303515 0.000632102
15 140 387 0.00014176 0.000286865 0.000615783
16 150 386 0.00011483 0.000273764 0.00059968
17 160 385 8.32982e-05 0.000267059 0.000587253
18 170 384 4.89674e-05 0.000265045 0.000580894
19 180 383 1.59044e-05 0.000262375 0.000577261
20 190 382 -1.10964e-05 0.000255777 0.00057175
21 200 381 -2.68703e-05 0.000244803 0.000564753
22 210 380 -2.97506e-05 0.000230083 0.000559692
23 220 379 -2.44529e-05 0.00021233 0.000554035
24 230 378 -1.74604e-05 0.000190702 0.000539268
25 240 377 -1.13843e-05 0.000167011 0.000511457
26 250 376 -5.81293e-06 0.000147475 0.000477743
27 260 375 -2.40344e-07 0.000136859 0.000449531
28 270 374 5.2806e-06 0.000133022 0.000428582
29 280 373 1.00655e-05 0.000130185 0.00040821
30 290 372 1.49619e-05 0.000126728 0.000387396
31 300 371 2.14307e-05 0.000124201 0.000374521
32 310 370 2.80852e-05 0.000122575 0.000371586
33 320 369 3.325e-05 0.000122056 0.000368723
34 330 368 3.70797e-05 0.000123328 0.000359273
35 340 367 4.0119e-05 0.000125476 0.000348249
36 350 366 4.43568e-05 0.000127731 0.000341759
37 360 365 5.21764e-05 0.000127286 0.000337484
38 370 364 6.2733e-05 0.000118948 0.000333927
39 380 363 7.47562e-05 0.000103404 0.000338722
40 390 362 8.88417e-05 8.59959e-05 0.0003605
41 400 361 0.00010375 7.09428e-05 0.000394715
42 410 360 0.000115547 5.95356e-05 0.000427024
43 420 359 0.000120772 5.32536e-05 0.000450929
44 430 358 0.000120553 5.37968e-05 0.000471622
45 440 357 0.000119673 6.03981e-05 0.000492668
46 450 356 0.000122112 6.96284e-05 0.00050743
47 460 355 0.000128295 7.74047e-05 0.000507284
48 470 354 0.000136424 8.06667e-05 0.000494703
49 480 353 0.000145587 7.80656e-05 0.000481704
50 490 352 0.000155716 6.98174e-05 0.000475567
51 500 351 0.000164444 5.70561e-05 0.000472401
52 510 350 0.000166952 4.31475e-05 0.000464379
53 520 349 0.000159314 3.28866e-05 0.000448312
54 530 348 0.000143269 2.56018e-05 0.00042821
55 540 347 0.000124454 1.38848e-05 0.000410571
56 550 346 0.000105342 -7.69627e-06 0.000395368
57 560 345 8.49724e-05 -3.81027e-05 0.000377755
58 570 344 6.43907e-05 -7.09847e-05 0.000359718
59 580 343 4.73817e-05 -9.78163e-05 0.000350965
60 590 342 3.67609e-05 -0.000114955 0.000356622
61 600 341 3.32858e-05 -0.000126569 0.000369275
62 610 340 3.67217e-05 -0.000138007 0.0003783
63 620 339 4.33868e-05 -0.000149112 0.000384144
64 630 338 4.89006e-05 -0.0001547 0.000390048
65 640 337 5.28344e-05 -0.000150414 0.000393079
66 650 336 5.71938e-05 -0.000136611 0.000393369
67 660 335 6.27939e-05 -0.000114829 0.000395866
68 670 334 6.67863e-05 -8.62812e-05 0.000400854
69 680 333 6.42604e-05 -5.68414e-05 0.000402858
70 690 332 5.32195e-05 -3.49311e-05 0.000400127
71 700 331 3.79561e-05 -2.18613e-05 0.000396145
72 710 330 2.767e-05 -1.49387e-05 0.000391582
73 720 329 2.86665e-05 -1.12088e-05 0.000383528
74 730 328 4.00226e-05 -4.65507e-06 0.00037291
75 740 327 5.71544e-05 8.85362e-06 0.000362515
76 750 326 7.60821e-05 2.71608e-05 0.000350228
77 760 325 9.13336e-05 4.68474e-05 0.000331078
78 770 324 9.8666e-05 6.45995e-05 0.000305791
79 780 323 0.000103041 7.70451e-05 0.000280811
80 790 322 0.000112694 8.25728e-05 0.000259357
81 800 321 0.00012709 8.5005e-05 0.00024079
82 810 320 0.000137505 9.10277e-05 0.00022713
83 820 319 0.00013492 0.000102753 0.000221937
84 830 318 0.000116769 0.000112765 0.000222943
85 840 317 8.86608e-05 0.000111564 0.000223385
86 850 316 5.99948e-05 0.000102254 0.0002202
87 860 315 3.81692e-05 9.8053e-05 0.000218384
88 870 314 2.54272e-05 0.000104563 0.000225389
89 880 313 2.09843e-05 0.000115098 0.000242443
90 890 312 2.23127e-05 0.000120445 0.000262687
91 900 311 2.44849e-05 0.00011826 0.000275044
92 910 310 2.50118e-05 0.000112782 0.00027172
93 920 309 2.67789e-05 0.00010653 0.00025588
94 930 308 3.27807e-05 9.86808e-05 0.000239006
95 940 307 4.19409e-05 9.20293e-05 0.000228104
96 950 306 4.85651e-05 9.2062e-05 0.000221851
97 960 305 4.52645e-05 9.97159e-05 0.000216646
98 970 304 2.97539e-05 0.000112848 0.000212084
99 980 303 1.05663e-05 0.000131291 0.000208115
100 990 302 -1.00142e-06 0.000154649 0.000201935
101 1000 301 -2.21152e-06 0.000174577 0.000193203
102 1010 300 1.11294e-06 0.000178492 0.000186709
103 1020 299 2.70519e-06 0.000164085 0.000187448
104 1030 298 2.76411e-06 0.000142596 0.000195085
105 1040 297 3.81315e-06 0.000128943 0.000205692
106 1050 296 6.53975e-06 0.000126585 0.000214769
107 1060 295 1.08321e-05 0.000126759 0.000215896
108 1070 294 1.66208e-05 0.00011924 0.000206264
109 1080 293 2.29065e-05 9.94946e-05 0.000194458
110 1090 292 2.45421e-05 7.02975e-05 0.000193308
111 1100 291 1.47519e-05 3.73469e-05 0.00020563
112 1110 290 -4.77997e-06 7.29019e-06 0.00022345
113 1120 289 -2.1008e-05 -1.41258e-05 0.000238683
114 1130 288 -2.07861e-05 -2.6941e-05 0.00024923
115 1140 287 -2.81792e-06 -3.77746e-05 0.000255399
116 1150 286 2.20912e-05 -5.387e-05 0.000256878
117 1160 285 4.27299e-05 -7.91971e-05 0.000254352
118 1170 284 5.84464e-05 -0.000111599 0.000251726
119 1180 283 7.49601e-05 -0.000142542 0.000256076
120 1190 282 9.37162e-05 -0.000165894 0.000271359
121 1200 281 0.000108952 -0.000180163 0.000292783
122 1210 280 0.000116009 -0.000186365 0.000313909
123 1220 279 0.000117306 -0.00018879 0.00033157
124 1230 278 0.000114714 -0.00019251 0.000339797
125 1240 277 0.000105899 -0.000199572 0.000331036
126 1250 276 9.15741e-05 -0.000213089 0.00030735
127 1260 275 7.9492e-05 -0.000236389 0.000280075
128 1270 274 7.61794e-05 -0.00026893 0.000253103
129 1280 273 8.15689e-05 -0.000308009 0.000226604
130 1290 272 9.3984e-05 -0.000348557 0.000206444
131 1300 271 0.00011244 -0.000384595 0.000200759
132 1310 270 0.000129699 -0.000411254 0.000208945
133 1320 269 0.00013457 -0.000426755 0.000222479
134 1330 268 0.000122653 -0.000432999 0.000234427
135 1340 267 9.89481e-05 -0.000433398 0.00024294
136 1350 266 7.14087e-05 -0.000430187 0.000249613
137 1360 265 4.46551e-05 -0.000428547 0.000254116
138 1370 264 2.00401e-05 -0.00043305 0.000253685
139 1380 263 -3.64564e-06 -0.000442231 0.000250014
140 1390 262 -2.4569e-05 -0.000449393 0.000251105
141 1400 261 -3.39819e-05 -0.000445856 0.000262641
142 1410 260 -2.69393e-05 -0.000429251 0.000282797
143 1420 259 -9.72003e-06 -0.000407913 0.000304639
144 1430 258 7.40066e-06 -0.000394299 0.000322656
145 1440 257 1.98163e-05 -0.000395285 0.000336756
146 1450 256 2.772e-05 -0.000406091 0.0003471
147 1460 255 2.93771e-05 -0.000416823 0.000349492
148 1470 254 2.32473e-05 -0.000423961 0.000340835
149 1480 253 1.30231e-05 -0.000429855 0.000328431
150 1490 252 5.44479e-06 -0.000438392 0.000325945
151 1500 251 3.86685e-06 -0.000448605 0.000335065
152 1510 250 4.78676e-06 -0.000453702 0.000342719
153 1520 249 2.53196e-06 -0.000448422 0.000343886
154 1530 248 -4.45965e-06 -0.00043446 0.00035111
155 1540 247 -1.19521e-05 -0.000417291 0.000372264
156 1550 246 -1.44845e-05 -0.000404221 0.000396607
157 1560 245 -1.12736e-05 -0.000399688 0.000411732
158 1570 244 -4.00994e-06 -0.000399067 0.000419026
159 1580 243 8.42666e-06 -0.000394112 0.000425002
160 1590 242 2.39191e-05 -0.000381557 0.000429869
161 1600 241 3.12262e-05 -0.00036558 0.000432539
162 1610 240 1.93669e-05 -0.000357759 0.000435354
163 1620 239 -8.65401e-06 -0.000364243 0.000442081
164 1630 238 -3.64108e-05 -0.000381476 0.000456642
165 1640 237 -5.01456e-05 -0.000403867 0.000481115
166 1650 236 -5.38262e-05 -0.000422642 0.000511834
